word_id,word,answer,participant_id,text
enc_wikimoon_13_page_1_0,Luna,0,028,enc_wikimoon
enc_wikimoon_13_page_1_1,https://ro.wikipedia.org/wiki/Luna,668,028,enc_wikimoon
enc_wikimoon_13_page_1_2,De,0,028,enc_wikimoon
enc_wikimoon_13_page_1_3,la,220,028,enc_wikimoon
enc_wikimoon_13_page_1_4,"Wikipedia,",0,028,enc_wikimoon
enc_wikimoon_13_page_1_5,enciclopedia,162,028,enc_wikimoon
enc_wikimoon_13_page_1_6,liberă,0,028,enc_wikimoon
enc_wikimoon_13_page_1_7,Luna,158,028,enc_wikimoon
enc_wikimoon_13_page_1_8,este,232,028,enc_wikimoon
enc_wikimoon_13_page_1_9,singurul,297,028,enc_wikimoon
enc_wikimoon_13_page_1_10,satelit,175,028,enc_wikimoon
enc_wikimoon_13_page_1_11,natural,322,028,enc_wikimoon
enc_wikimoon_13_page_1_12,al,0,028,enc_wikimoon
enc_wikimoon_13_page_1_13,Pământului.,209,028,enc_wikimoon
enc_wikimoon_13_page_1_14,Ea,123,028,enc_wikimoon
enc_wikimoon_13_page_1_15,orbitează,227,028,enc_wikimoon
enc_wikimoon_13_page_1_16,în,0,028,enc_wikimoon
enc_wikimoon_13_page_1_17,jurul,204,028,enc_wikimoon
enc_wikimoon_13_page_1_18,Pământului,338,028,enc_wikimoon
enc_wikimoon_13_page_1_19,la,0,028,enc_wikimoon
enc_wikimoon_13_page_1_20,o,339,028,enc_wikimoon
enc_wikimoon_13_page_1_21,distanță,271,028,enc_wikimoon
enc_wikimoon_13_page_1_22,medie,455,028,enc_wikimoon
enc_wikimoon_13_page_1_23,de,188,028,enc_wikimoon
enc_wikimoon_13_page_1_24,384.400,1101,028,enc_wikimoon
enc_wikimoon_13_page_1_25,km,194,028,enc_wikimoon
enc_wikimoon_13_page_1_26,(238.900,350,028,enc_wikimoon
enc_wikimoon_13_page_1_27,mile;,365,028,enc_wikimoon
enc_wikimoon_13_page_1_28,"1,28",357,028,enc_wikimoon
enc_wikimoon_13_page_1_29,secunde,213,028,enc_wikimoon
enc_wikimoon_13_page_1_30,"lumină),",293,028,enc_wikimoon
enc_wikimoon_13_page_1_31,sau,0,028,enc_wikimoon
enc_wikimoon_13_page_1_32,aproximativ,423,028,enc_wikimoon
enc_wikimoon_13_page_1_33,de,0,028,enc_wikimoon
enc_wikimoon_13_page_1_34,30,454,028,enc_wikimoon
enc_wikimoon_13_page_1_35,de,0,028,enc_wikimoon
enc_wikimoon_13_page_1_36,ori,569,028,enc_wikimoon
enc_wikimoon_13_page_1_37,diametrul,807,028,enc_wikimoon
enc_wikimoon_13_page_1_38,Pământului.,1007,028,enc_wikimoon
enc_wikimoon_13_page_2_0,Luna,0,028,enc_wikimoon
enc_wikimoon_13_page_2_1,este,0,028,enc_wikimoon
enc_wikimoon_13_page_2_2,întotdeauna,0,028,enc_wikimoon
enc_wikimoon_13_page_2_3,orientată,295,028,enc_wikimoon
enc_wikimoon_13_page_2_4,spre,223,028,enc_wikimoon
enc_wikimoon_13_page_2_5,Pământ,0,028,enc_wikimoon
enc_wikimoon_13_page_2_6,cu,0,028,enc_wikimoon
enc_wikimoon_13_page_2_7,fața,198,028,enc_wikimoon
enc_wikimoon_13_page_2_8,sa,0,028,enc_wikimoon
enc_wikimoon_13_page_2_9,vizibilă,422,028,enc_wikimoon
enc_wikimoon_13_page_2_10,pentru,0,028,enc_wikimoon
enc_wikimoon_13_page_2_11,că,172,028,enc_wikimoon
enc_wikimoon_13_page_2_12,perioada,0,028,enc_wikimoon
enc_wikimoon_13_page_2_13,sa,146,028,enc_wikimoon
enc_wikimoon_13_page_2_14,de,140,028,enc_wikimoon
enc_wikimoon_13_page_2_15,rotație,0,028,enc_wikimoon
enc_wikimoon_13_page_2_16,este,236,028,enc_wikimoon
enc_wikimoon_13_page_2_17,egală,0,028,enc_wikimoon
enc_wikimoon_13_page_2_18,cu,0,028,enc_wikimoon
enc_wikimoon_13_page_2_19,perioada,190,028,enc_wikimoon
enc_wikimoon_13_page_2_20,sa,150,028,enc_wikimoon
enc_wikimoon_13_page_2_21,de,0,028,enc_wikimoon
enc_wikimoon_13_page_2_22,"revoluție,",717,028,enc_wikimoon
enc_wikimoon_13_page_2_23,un,0,028,enc_wikimoon
enc_wikimoon_13_page_2_24,fenomen,211,028,enc_wikimoon
enc_wikimoon_13_page_2_25,rezultat,249,028,enc_wikimoon
enc_wikimoon_13_page_2_26,din,0,028,enc_wikimoon
enc_wikimoon_13_page_2_27,rotația,562,028,enc_wikimoon
enc_wikimoon_13_page_2_28,sincronă,734,028,enc_wikimoon
enc_wikimoon_13_page_2_29,cu,456,028,enc_wikimoon
enc_wikimoon_13_page_2_30,Pământul.,189,028,enc_wikimoon
enc_wikimoon_13_page_2_31,Această,148,028,enc_wikimoon
enc_wikimoon_13_page_2_32,perioadă,195,028,enc_wikimoon
enc_wikimoon_13_page_2_33,"este,",139,028,enc_wikimoon
enc_wikimoon_13_page_2_34,în,0,028,enc_wikimoon
enc_wikimoon_13_page_2_35,raport,191,028,enc_wikimoon
enc_wikimoon_13_page_2_36,cu,0,028,enc_wikimoon
enc_wikimoon_13_page_2_37,"Soarele,",190,028,enc_wikimoon
enc_wikimoon_13_page_2_38,de,283,028,enc_wikimoon
enc_wikimoon_13_page_2_39,"29,5",963,028,enc_wikimoon
enc_wikimoon_13_page_2_40,zile,161,028,enc_wikimoon
enc_wikimoon_13_page_2_41,și,0,028,enc_wikimoon
enc_wikimoon_13_page_2_42,este,137,028,enc_wikimoon
enc_wikimoon_13_page_2_43,vizibilă,142,028,enc_wikimoon
enc_wikimoon_13_page_2_44,ca,328,028,enc_wikimoon
enc_wikimoon_13_page_2_45,ciclul,0,028,enc_wikimoon
enc_wikimoon_13_page_2_46,fazelor,261,028,enc_wikimoon
enc_wikimoon_13_page_2_47,lunare.,192,028,enc_wikimoon
enc_wikimoon_13_page_2_48,Pentru,240,028,enc_wikimoon
enc_wikimoon_13_page_2_49,"Pământ,",0,028,enc_wikimoon
enc_wikimoon_13_page_2_50,Luna,221,028,enc_wikimoon
enc_wikimoon_13_page_2_51,a,0,028,enc_wikimoon
enc_wikimoon_13_page_2_52,"fost,",130,028,enc_wikimoon
enc_wikimoon_13_page_2_53,în,0,028,enc_wikimoon
enc_wikimoon_13_page_2_54,afară,191,028,enc_wikimoon
enc_wikimoon_13_page_2_55,de,0,028,enc_wikimoon
enc_wikimoon_13_page_2_56,"Soare,",210,028,enc_wikimoon
enc_wikimoon_13_page_2_57,cel,195,028,enc_wikimoon
enc_wikimoon_13_page_2_58,mai,0,028,enc_wikimoon
enc_wikimoon_13_page_2_59,influent,284,028,enc_wikimoon
enc_wikimoon_13_page_2_60,obiect,142,028,enc_wikimoon
enc_wikimoon_13_page_2_61,"ceresc,",245,028,enc_wikimoon
enc_wikimoon_13_page_2_62,în,192,028,enc_wikimoon
enc_wikimoon_13_page_2_63,special,0,028,enc_wikimoon
enc_wikimoon_13_page_2_64,datorită,265,028,enc_wikimoon
enc_wikimoon_13_page_2_65,influenței,287,028,enc_wikimoon
enc_wikimoon_13_page_2_66,sale,204,028,enc_wikimoon
enc_wikimoon_13_page_2_67,"gravitaționale,",480,028,enc_wikimoon
enc_wikimoon_13_page_2_68,fiind,357,028,enc_wikimoon
enc_wikimoon_13_page_2_69,principalul,200,028,enc_wikimoon
enc_wikimoon_13_page_2_70,factor,187,028,enc_wikimoon
enc_wikimoon_13_page_2_71,care,0,028,enc_wikimoon
enc_wikimoon_13_page_2_72,determină,140,028,enc_wikimoon
enc_wikimoon_13_page_2_73,mareele,343,028,enc_wikimoon
